model,task,lang_a,lang_b,n_aligned,acc_a,acc_b,acc_diff,b_a_right_b_wrong,c_a_wrong_b_right,n_discordant,chi2,p_value,significant,direction,odds_ratio,cohens_h
llama3.3-70b,code,ar,sw,500,0.966,0.954,0.012,22,16,38,0.6579,0.417304,False,Arabic > Swahili,1.375,0.0614
llama3.3-70b,code,hi,sw,500,0.942,0.954,-0.012,21,27,48,0.5208,0.470486,False,Swahili > Hindi,0.7778,0.0541
llama3.3-70b,code,ko,zh,500,0.976,0.968,0.008,12,8,20,0.45,0.502335,False,Korean > Chinese,1.5,0.0486
llama3.3-70b,code,hi,tr,500,0.942,0.932,0.01,25,20,45,0.3556,0.550985,False,Hindi > Turkish,1.25,0.0412
llama3.3-70b,code,de,en,500,0.994,0.994,0.0,2,2,4,0.25,0.617075,False,tie,1.0,0.0
llama3.3-70b,code,de,fr,500,0.994,0.994,0.0,2,2,4,0.25,0.617075,False,tie,1.0,0.0
llama3.3-70b,code,en,fr,500,0.994,0.994,0.0,2,2,4,0.25,0.617075,False,tie,1.0,0.0
llama3.3-70b,code,ar,es,500,0.966,0.972,-0.006,11,14,25,0.16,0.689157,False,Spanish > Arabic,0.7857,0.0347
llama3.3-70b,code,es,ko,500,0.972,0.976,-0.004,11,13,24,0.0417,0.838256,False,Korean > Spanish,0.8462,0.0252
llama3.3-70b,code,es,zh,500,0.972,0.968,0.004,14,12,26,0.0385,0.844519,False,Spanish > Chinese,1.1667,0.0235
llama3.3-70b,code,ar,zh,500,0.966,0.968,-0.002,10,11,21,0.0,1.0,False,Chinese > Arabic,0.9091,0.0112
llama3.3-70b,code,de,fi,500,0.994,0.992,0.002,4,3,7,0.0,1.0,False,German > Finnish,1.3333,0.0241
llama3.3-70b,code,en,fi,500,0.994,0.992,0.002,4,3,7,0.0,1.0,False,English > Finnish,1.3333,0.0241
llama3.3-70b,code,fi,fr,500,0.992,0.994,-0.002,3,4,7,0.0,1.0,False,French > Finnish,0.75,0.0241
llama4-scout,code,de,zh,500,0.426,0.33,0.096,66,18,84,26.2976,0.0,True,German > Chinese,3.6667,0.1984
llama4-scout,code,es,zh,500,0.442,0.33,0.112,77,21,98,30.8673,0.0,True,Spanish > Chinese,3.6667,0.2307
llama4-scout,code,fr,hi,500,0.448,0.354,0.094,65,18,83,25.494,0.0,True,French > Hindi,3.6111,0.1921
llama4-scout,code,fr,zh,500,0.448,0.33,0.118,77,18,95,35.4105,0.0,True,French > Chinese,4.2778,0.2427
llama4-scout,code,ar,fr,500,0.356,0.448,-0.092,18,64,82,24.6951,1e-06,True,French > Arabic,0.2812,0.1879
llama4-scout,code,en,fr,500,0.354,0.448,-0.094,21,68,89,23.7753,1e-06,True,French > English,0.3088,0.1921
llama4-scout,code,es,hi,500,0.442,0.354,0.088,61,17,78,23.7051,1e-06,True,Spanish > Hindi,3.5882,0.1801
llama4-scout,code,fi,fr,500,0.36,0.448,-0.088,16,60,76,24.3289,1e-06,True,French > Finnish,0.2667,0.1796
llama4-scout,code,ar,es,500,0.356,0.442,-0.086,17,60,77,22.9091,2e-06,True,Spanish > Arabic,0.2833,0.1759
llama4-scout,code,sw,zh,500,0.436,0.33,0.106,86,33,119,22.7227,2e-06,True,Swahili > Chinese,2.6061,0.2186
llama4-scout,code,en,es,500,0.354,0.442,-0.088,23,67,90,20.5444,6e-06,True,Spanish > English,0.3433,0.1801
llama4-scout,code,es,fi,500,0.442,0.36,0.082,63,22,85,18.8235,1.4e-05,True,Spanish > Finnish,2.8636,0.1675
llama4-scout,code,hi,sw,500,0.354,0.436,-0.082,22,63,85,18.8235,1.4e-05,True,Swahili > Hindi,0.3492,0.168
llama4-scout,code,tr,zh,500,0.42,0.33,0.09,74,29,103,18.7961,1.5e-05,True,Turkish > Chinese,2.5517,0.1862
llama4-scout,code,en,sw,500,0.354,0.436,-0.082,31,72,103,15.534,8.1e-05,True,Swahili > English,0.4306,0.168
llama4-scout,code,ar,sw,500,0.356,0.436,-0.08,29,69,98,15.5204,8.2e-05,True,Swahili > Arabic,0.4203,0.1638
llama4-scout,code,de,hi,500,0.426,0.354,0.072,60,24,84,14.5833,0.000134,True,German > Hindi,2.5,0.1478
llama4-scout,code,fi,sw,500,0.36,0.436,-0.076,29,67,96,14.2604,0.000159,True,Swahili > Finnish,0.4328,0.1554
llama4-scout,code,de,en,500,0.426,0.354,0.072,61,25,86,14.2442,0.000161,True,German > English,2.44,0.1478
llama4-scout,code,ko,zh,500,0.406,0.33,0.076,70,32,102,13.4216,0.000249,True,Korean > Chinese,2.1875,0.1578
llama4-scout,code,ar,de,500,0.356,0.426,-0.07,29,64,93,12.4301,0.000422,True,German > Arabic,0.4531,0.1436
llama4-scout,code,de,fi,500,0.426,0.36,0.066,59,26,85,12.0471,0.000519,True,German > Finnish,2.2692,0.1352
llama4-scout,code,hi,tr,500,0.354,0.42,-0.066,26,59,85,12.0471,0.000519,True,Turkish > Hindi,0.4407,0.1356
llama4-scout,code,fi,tr,500,0.36,0.42,-0.06,22,52,74,11.3649,0.000748,True,Turkish > Finnish,0.4231,0.1231
llama4-scout,code,en,tr,500,0.354,0.42,-0.066,30,63,93,11.0108,0.000906,True,Turkish > English,0.4762,0.1356
llama4-scout,code,ar,tr,500,0.356,0.42,-0.064,29,61,90,10.6778,0.001084,True,Turkish > Arabic,0.4754,0.1314
llama4-scout,code,hi,ko,500,0.354,0.406,-0.052,30,56,86,7.2674,0.007022,True,Korean > Hindi,0.5357,0.1072
llama4-scout,code,en,ko,500,0.354,0.406,-0.052,36,62,98,6.3776,0.011557,True,Korean > English,0.5806,0.1072
llama4-scout,code,ar,ko,500,0.356,0.406,-0.05,34,59,93,6.1935,0.012822,True,Korean > Arabic,0.5763,0.103
llama4-scout,code,fi,ko,500,0.36,0.406,-0.046,28,51,79,6.1266,0.013316,True,Korean > Finnish,0.549,0.0947
llama4-scout,code,fr,ko,500,0.448,0.406,0.042,45,24,69,5.7971,0.016053,True,French > Korean,1.875,0.0849
llama4-scout,code,es,ko,500,0.442,0.406,0.036,42,24,66,4.3788,0.036389,True,Spanish > Korean,1.75,0.0729
llama4-scout,code,fr,tr,500,0.448,0.42,0.028,37,23,60,2.8167,0.09329,False,French > Turkish,1.6087,0.0565
llama4-scout,code,ko,sw,500,0.406,0.436,-0.03,33,48,81,2.4198,0.119814,False,Swahili > Korean,0.6875,0.0608
llama4-scout,code,fi,zh,500,0.36,0.33,0.03,61,46,107,1.8318,0.175918,False,Finnish > Chinese,1.3261,0.0631
llama4-scout,code,de,fr,500,0.426,0.448,-0.022,24,35,59,1.6949,0.192954,False,French > German,0.6857,0.0444
llama4-scout,code,es,tr,500,0.442,0.42,0.022,35,24,59,1.6949,0.192954,False,Spanish > Turkish,1.4583,0.0444
llama4-scout,code,ar,zh,500,0.356,0.33,0.026,63,50,113,1.2743,0.258955,False,Arabic > Chinese,1.26,0.0548
llama4-scout,code,en,zh,500,0.354,0.33,0.024,56,44,100,1.21,0.271332,False,English > Chinese,1.2727,0.0506
llama4-scout,code,de,ko,500,0.426,0.406,0.02,41,31,72,1.125,0.288844,False,German > Korean,1.3226,0.0406
llama4-scout,code,hi,zh,500,0.354,0.33,0.024,61,49,110,1.1,0.294266,False,Hindi > Chinese,1.2449,0.0506
llama4-scout,code,de,es,500,0.426,0.442,-0.016,25,33,58,0.8448,0.35802,False,Spanish > German,0.7576,0.0323
llama4-scout,code,sw,tr,500,0.436,0.42,0.016,37,29,66,0.7424,0.388885,False,Swahili > Turkish,1.2759,0.0323
llama4-scout,code,ko,tr,500,0.406,0.42,-0.014,31,38,69,0.5217,0.470101,False,Turkish > Korean,0.8158,0.0284
llama4-scout,code,fr,sw,500,0.448,0.436,0.012,34,28,62,0.4032,0.525428,False,French > Swahili,1.2143,0.0242
llama4-scout,code,de,sw,500,0.426,0.436,-0.01,33,38,71,0.2254,0.634992,False,Swahili > German,0.8684,0.0202
llama4-scout,code,es,fr,500,0.442,0.448,-0.006,21,24,45,0.0889,0.765594,False,French > Spanish,0.875,0.0121
llama4-scout,code,de,tr,500,0.426,0.42,0.006,34,31,65,0.0615,0.804081,False,German > Turkish,1.0968,0.0121
llama4-scout,code,es,sw,500,0.442,0.436,0.006,34,31,65,0.0615,0.804081,False,Spanish > Swahili,1.0968,0.0121
llama4-scout,code,fi,hi,500,0.36,0.354,0.006,47,44,91,0.044,0.833935,False,Finnish > Hindi,1.0682,0.0125
llama4-scout,code,en,fi,500,0.354,0.36,-0.006,47,50,97,0.0412,0.839081,False,Finnish > English,0.94,0.0125
llama4-scout,code,en,hi,500,0.354,0.354,0.0,47,47,94,0.0106,0.91785,False,tie,1.0,0.0
llama4-scout,code,ar,fi,500,0.356,0.36,-0.004,51,53,104,0.0096,0.921886,False,Finnish > Arabic,0.9623,0.0083
llama4-scout,code,ar,en,500,0.356,0.354,0.002,54,53,107,0.0,1.0,False,Arabic > English,1.0189,0.0042
llama4-scout,code,ar,hi,500,0.356,0.354,0.002,49,48,97,0.0,1.0,False,Arabic > Hindi,1.0208,0.0042
gpt-oss-120b,commonsense,ar,tr,500,0.952,0.98,-0.028,0,14,14,12.0714,0.000512,True,Turkish > Arabic,0.0,0.158
gpt-oss-120b,commonsense,ar,es,500,0.952,0.978,-0.026,2,15,17,8.4706,0.003609,True,Spanish > Arabic,0.1333,0.144
gpt-oss-120b,commonsense,ar,sw,500,0.952,0.976,-0.024,2,14,16,7.5625,0.00596,True,Swahili > Arabic,0.1429,0.1307
gpt-oss-120b,commonsense,ar,en,500,0.952,0.976,-0.024,3,15,18,6.7222,0.009522,True,English > Arabic,0.2,0.1307
gpt-oss-120b,commonsense,ar,fr,500,0.952,0.974,-0.022,3,14,17,5.8824,0.015293,True,French > Arabic,0.2143,0.1179
gpt-oss-120b,commonsense,ar,ko,500,0.952,0.974,-0.022,4,15,19,5.2632,0.021781,True,Korean > Arabic,0.2667,0.1179
gpt-oss-120b,commonsense,ar,zh,500,0.952,0.972,-0.02,4,14,18,4.5,0.033895,True,Chinese > Arabic,0.2857,0.1055
gpt-oss-120b,commonsense,ar,de,500,0.952,0.972,-0.02,5,15,20,4.05,0.044171,True,German > Arabic,0.3333,0.1055
gpt-oss-120b,commonsense,ar,fi,500,0.952,0.97,-0.018,4,13,17,3.7647,0.052345,False,Finnish > Arabic,0.3077,0.0936
gpt-oss-120b,commonsense,ar,hi,500,0.952,0.97,-0.018,5,14,19,3.3684,0.066457,False,Hindi > Arabic,0.3571,0.0936
gpt-oss-120b,commonsense,fi,tr,500,0.97,0.98,-0.01,0,5,5,3.2,0.073638,False,Turkish > Finnish,0.0,0.0644
gpt-oss-120b,commonsense,hi,tr,500,0.97,0.98,-0.01,0,5,5,3.2,0.073638,False,Turkish > Hindi,0.0,0.0644
gpt-oss-120b,commonsense,de,tr,500,0.972,0.98,-0.008,1,5,6,1.5,0.220671,False,Turkish > German,0.2,0.0525
gpt-oss-120b,commonsense,es,fi,500,0.978,0.97,0.008,5,1,6,1.5,0.220671,False,Spanish > Finnish,5.0,0.0504
gpt-oss-120b,commonsense,en,fi,500,0.976,0.97,0.006,3,0,3,1.3333,0.248213,False,English > Finnish,inf,0.0371
gpt-oss-120b,commonsense,fr,tr,500,0.974,0.98,-0.006,0,3,3,1.3333,0.248213,False,Turkish > French,0.0,0.0401
gpt-oss-120b,commonsense,es,hi,500,0.978,0.97,0.008,6,2,8,1.125,0.288844,False,Spanish > Hindi,3.0,0.0504
gpt-oss-120b,commonsense,tr,zh,500,0.98,0.972,0.008,6,2,8,1.125,0.288844,False,Turkish > Chinese,3.0,0.0525
gpt-oss-120b,commonsense,ko,tr,500,0.974,0.98,-0.006,1,4,5,0.8,0.371093,False,Turkish > Korean,0.25,0.0401
gpt-oss-120b,commonsense,de,es,500,0.972,0.978,-0.006,2,5,7,0.5714,0.449692,False,Spanish > German,0.4,0.0385
gpt-oss-120b,commonsense,fi,sw,500,0.97,0.976,-0.006,2,5,7,0.5714,0.449692,False,Swahili > Finnish,0.4,0.0371
gpt-oss-120b,commonsense,en,hi,500,0.976,0.97,0.006,6,3,9,0.4444,0.504985,False,English > Hindi,2.0,0.0371
gpt-oss-120b,commonsense,es,zh,500,0.978,0.972,0.006,6,3,9,0.4444,0.504985,False,Spanish > Chinese,2.0,0.0385
gpt-oss-120b,commonsense,hi,sw,500,0.97,0.976,-0.006,3,6,9,0.4444,0.504985,False,Swahili > Hindi,0.5,0.0371
gpt-oss-120b,commonsense,de,sw,500,0.972,0.976,-0.004,1,3,4,0.25,0.617075,False,Swahili > German,0.3333,0.0252
gpt-oss-120b,commonsense,es,fr,500,0.978,0.974,0.004,3,1,4,0.25,0.617075,False,Spanish > French,3.0,0.0262
gpt-oss-120b,commonsense,fi,fr,500,0.97,0.974,-0.004,1,3,4,0.25,0.617075,False,French > Finnish,0.3333,0.0243
gpt-oss-120b,commonsense,fi,ko,500,0.97,0.974,-0.004,1,3,4,0.25,0.617075,False,Korean > Finnish,0.3333,0.0243
gpt-oss-120b,commonsense,sw,tr,500,0.976,0.98,-0.004,1,3,4,0.25,0.617075,False,Turkish > Swahili,0.3333,0.0273
gpt-oss-120b,commonsense,de,zh,500,0.972,0.972,0.0,3,3,6,0.1667,0.683091,False,tie,1.0,0.0
gpt-oss-120b,commonsense,en,tr,500,0.976,0.98,-0.004,2,4,6,0.1667,0.683091,False,Turkish > English,0.5,0.0273
gpt-oss-120b,commonsense,es,ko,500,0.978,0.974,0.004,4,2,6,0.1667,0.683091,False,Spanish > Korean,2.0,0.0262
gpt-oss-120b,commonsense,fr,hi,500,0.974,0.97,0.004,4,2,6,0.1667,0.683091,False,French > Hindi,2.0,0.0243
gpt-oss-120b,commonsense,fr,ko,500,0.974,0.974,0.0,3,3,6,0.1667,0.683091,False,tie,1.0,0.0
gpt-oss-120b,commonsense,hi,ko,500,0.97,0.974,-0.004,2,4,6,0.1667,0.683091,False,Korean > Hindi,0.5,0.0243
gpt-oss-120b,commonsense,sw,zh,500,0.976,0.972,0.004,4,2,6,0.1667,0.683091,False,Swahili > Chinese,2.0,0.0252
gpt-oss-120b,commonsense,de,en,500,0.972,0.976,-0.004,3,5,8,0.125,0.723674,False,English > German,0.6,0.0252
gpt-oss-120b,commonsense,en,sw,500,0.976,0.976,0.0,4,4,8,0.125,0.723674,False,tie,1.0,0.0
gpt-oss-120b,commonsense,fi,hi,500,0.97,0.97,0.0,4,4,8,0.125,0.723674,False,tie,1.0,0.0
gpt-oss-120b,commonsense,en,zh,500,0.976,0.972,0.004,6,4,10,0.1,0.75183,False,English > Chinese,1.5,0.0252
gpt-oss-120b,commonsense,de,fi,500,0.972,0.97,0.002,4,3,7,0.0,1.0,False,German > Finnish,1.3333,0.0119
gpt-oss-120b,commonsense,de,fr,500,0.972,0.974,-0.002,3,4,7,0.0,1.0,False,French > German,0.75,0.0123
gpt-oss-120b,commonsense,de,hi,500,0.972,0.97,0.002,4,3,7,0.0,1.0,False,German > Hindi,1.3333,0.0119
gpt-oss-120b,commonsense,de,ko,500,0.972,0.974,-0.002,1,2,3,0.0,1.0,False,Korean > German,0.5,0.0123
gpt-oss-120b,commonsense,en,es,500,0.976,0.978,-0.002,4,5,9,0.0,1.0,False,Spanish > English,0.8,0.0133
gpt-oss-120b,commonsense,en,fr,500,0.976,0.974,0.002,4,3,7,0.0,1.0,False,English > French,1.3333,0.0128
gpt-oss-120b,commonsense,en,ko,500,0.976,0.974,0.002,3,2,5,0.0,1.0,False,English > Korean,1.5,0.0128
gpt-oss-120b,commonsense,es,sw,500,0.978,0.976,0.002,3,2,5,0.0,1.0,False,Spanish > Swahili,1.5,0.0133
gpt-oss-120b,commonsense,es,tr,500,0.978,0.98,-0.002,1,2,3,0.0,1.0,False,Turkish > Spanish,0.5,0.014
gpt-oss-120b,commonsense,fi,zh,500,0.97,0.972,-0.002,4,5,9,0.0,1.0,False,Chinese > Finnish,0.8,0.0119
gpt-oss-120b,commonsense,fr,sw,500,0.974,0.976,-0.002,3,4,7,0.0,1.0,False,Swahili > French,0.75,0.0128
gpt-oss-120b,commonsense,fr,zh,500,0.974,0.972,0.002,6,5,11,0.0,1.0,False,French > Chinese,1.2,0.0123
gpt-oss-120b,commonsense,hi,zh,500,0.97,0.972,-0.002,5,6,11,0.0,1.0,False,Chinese > Hindi,0.8333,0.0119
gpt-oss-120b,commonsense,ko,sw,500,0.974,0.976,-0.002,3,4,7,0.0,1.0,False,Swahili > Korean,0.75,0.0128
gpt-oss-120b,commonsense,ko,zh,500,0.974,0.972,0.002,4,3,7,0.0,1.0,False,Korean > Chinese,1.3333,0.0123
gpt-oss-20b,commonsense,en,es,500,0.978,0.958,0.02,11,1,12,6.75,0.009375,True,English > Spanish,11.0,0.1151
gpt-oss-20b,commonsense,en,hi,500,0.978,0.956,0.022,13,2,15,6.6667,0.009823,True,English > Hindi,6.5,0.1249
gpt-oss-20b,commonsense,en,sw,500,0.978,0.96,0.018,10,1,11,5.8182,0.015861,True,English > Swahili,10.0,0.105
gpt-oss-20b,commonsense,en,tr,500,0.978,0.958,0.02,12,2,14,5.7857,0.016157,True,English > Turkish,6.0,0.1151
gpt-oss-20b,commonsense,en,ko,500,0.978,0.962,0.016,11,3,14,3.5,0.061369,False,English > Korean,3.6667,0.0946
gpt-oss-20b,commonsense,en,fi,500,0.978,0.964,0.014,9,2,11,3.2727,0.07044,False,English > Finnish,4.5,0.084
gpt-oss-20b,commonsense,de,hi,500,0.972,0.956,0.016,14,6,20,2.45,0.117525,False,German > Hindi,2.3333,0.0864
gpt-oss-20b,commonsense,de,es,500,0.972,0.958,0.014,12,5,17,2.1176,0.14561,False,German > Spanish,2.4,0.0766
gpt-oss-20b,commonsense,ar,en,500,0.966,0.978,-0.012,3,9,12,2.0833,0.148915,False,English > Arabic,0.3333,0.0732
gpt-oss-20b,commonsense,de,tr,500,0.972,0.958,0.014,13,6,19,1.8947,0.168669,False,German > Turkish,2.1667,0.0766
gpt-oss-20b,commonsense,fr,hi,500,0.97,0.956,0.014,13,6,19,1.8947,0.168669,False,French > Hindi,2.1667,0.0745
gpt-oss-20b,commonsense,en,zh,500,0.978,0.968,0.01,7,2,9,1.7778,0.182422,False,English > Chinese,3.5,0.062
gpt-oss-20b,commonsense,es,fr,500,0.958,0.97,-0.012,5,11,16,1.5625,0.2113,False,French > Spanish,0.4545,0.0646
gpt-oss-20b,commonsense,fr,tr,500,0.97,0.958,0.012,11,5,16,1.5625,0.2113,False,French > Turkish,2.2,0.0646
gpt-oss-20b,commonsense,de,sw,500,0.972,0.96,0.012,12,6,18,1.3889,0.238593,False,German > Swahili,2.0,0.0665
gpt-oss-20b,commonsense,hi,zh,500,0.956,0.968,-0.012,7,13,20,1.25,0.263552,False,Chinese > Hindi,0.5385,0.063
gpt-oss-20b,commonsense,es,zh,500,0.958,0.968,-0.01,4,9,13,1.2308,0.267257,False,Chinese > Spanish,0.4444,0.0531
gpt-oss-20b,commonsense,en,fr,500,0.978,0.97,0.008,6,2,8,1.125,0.288844,False,English > French,3.0,0.0504
gpt-oss-20b,commonsense,de,ko,500,0.972,0.962,0.01,10,5,15,1.0667,0.3017,False,German > Korean,2.0,0.0561
gpt-oss-20b,commonsense,fr,sw,500,0.97,0.96,0.01,10,5,15,1.0667,0.3017,False,French > Swahili,2.0,0.0545
gpt-oss-20b,commonsense,tr,zh,500,0.958,0.968,-0.01,7,12,19,0.8421,0.358795,False,Chinese > Turkish,0.5833,0.0531
gpt-oss-20b,commonsense,ar,hi,500,0.966,0.956,0.01,13,8,21,0.7619,0.382733,False,Arabic > Hindi,1.625,0.0518
gpt-oss-20b,commonsense,de,fi,500,0.972,0.964,0.008,10,6,16,0.5625,0.453255,False,German > Finnish,1.6667,0.0455
gpt-oss-20b,commonsense,fr,ko,500,0.97,0.962,0.008,10,6,16,0.5625,0.453255,False,French > Korean,1.6667,0.0442
gpt-oss-20b,commonsense,sw,zh,500,0.96,0.968,-0.008,6,10,16,0.5625,0.453255,False,Chinese > Swahili,0.6,0.043
gpt-oss-20b,commonsense,ar,es,500,0.966,0.958,0.008,11,7,18,0.5,0.4795,False,Arabic > Spanish,1.5714,0.0419
gpt-oss-20b,commonsense,ar,tr,500,0.966,0.958,0.008,11,7,18,0.5,0.4795,False,Arabic > Turkish,1.5714,0.0419
gpt-oss-20b,commonsense,de,en,500,0.972,0.978,-0.006,3,6,9,0.4444,0.504985,False,English > German,0.5,0.0385
gpt-oss-20b,commonsense,fi,hi,500,0.964,0.956,0.008,13,9,22,0.4091,0.522431,False,Finnish > Hindi,1.4444,0.0409
gpt-oss-20b,commonsense,ar,de,500,0.966,0.972,-0.006,5,8,13,0.3077,0.5791,False,German > Arabic,0.625,0.0347
gpt-oss-20b,commonsense,fi,fr,500,0.964,0.97,-0.006,5,8,13,0.3077,0.5791,False,French > Finnish,0.625,0.0336
gpt-oss-20b,commonsense,es,fi,500,0.958,0.964,-0.006,7,10,17,0.2353,0.627626,False,Finnish > Spanish,0.7,0.031
gpt-oss-20b,commonsense,fi,tr,500,0.964,0.958,0.006,10,7,17,0.2353,0.627626,False,Finnish > Turkish,1.4286,0.031
gpt-oss-20b,commonsense,ko,zh,500,0.962,0.968,-0.006,7,10,17,0.2353,0.627626,False,Chinese > Korean,0.7,0.0327
gpt-oss-20b,commonsense,ar,sw,500,0.966,0.96,0.006,11,8,19,0.2105,0.646355,False,Arabic > Swahili,1.375,0.0318
gpt-oss-20b,commonsense,hi,ko,500,0.956,0.962,-0.006,9,12,21,0.1905,0.662521,False,Korean > Hindi,0.75,0.0303
gpt-oss-20b,commonsense,fi,zh,500,0.964,0.968,-0.004,4,6,10,0.1,0.75183,False,Chinese > Finnish,0.6667,0.0221
gpt-oss-20b,commonsense,ar,fr,500,0.966,0.97,-0.004,5,7,12,0.0833,0.77283,False,French > Arabic,0.7143,0.0227
gpt-oss-20b,commonsense,ar,ko,500,0.966,0.962,0.004,8,6,14,0.0714,0.789268,False,Arabic > Korean,1.3333,0.0215
gpt-oss-20b,commonsense,de,zh,500,0.972,0.968,0.004,8,6,14,0.0714,0.789268,False,German > Chinese,1.3333,0.0235
gpt-oss-20b,commonsense,es,ko,500,0.958,0.962,-0.004,7,9,16,0.0625,0.802587,False,Korean > Spanish,0.7778,0.0204
gpt-oss-20b,commonsense,fi,sw,500,0.964,0.96,0.004,9,7,16,0.0625,0.802587,False,Finnish > Swahili,1.2857,0.0209
gpt-oss-20b,commonsense,ko,tr,500,0.962,0.958,0.004,9,7,16,0.0625,0.802587,False,Korean > Turkish,1.2857,0.0204
gpt-oss-20b,commonsense,es,tr,500,0.958,0.958,0.0,10,10,20,0.05,0.823063,False,tie,1.0,0.0
gpt-oss-20b,commonsense,hi,sw,500,0.956,0.96,-0.004,11,13,24,0.0417,0.838256,False,Swahili > Hindi,0.8462,0.0199
gpt-oss-20b,commonsense,ar,fi,500,0.966,0.964,0.002,8,7,15,0.0,1.0,False,Arabic > Finnish,1.1429,0.0109
gpt-oss-20b,commonsense,ar,zh,500,0.966,0.968,-0.002,6,7,13,0.0,1.0,False,Chinese > Arabic,0.8571,0.0112
gpt-oss-20b,commonsense,de,fr,500,0.972,0.97,0.002,7,6,13,0.0,1.0,False,German > French,1.1667,0.0119
gpt-oss-20b,commonsense,es,hi,500,0.958,0.956,0.002,10,9,19,0.0,1.0,False,Spanish > Hindi,1.1111,0.0099
gpt-oss-20b,commonsense,es,sw,500,0.958,0.96,-0.002,9,10,19,0.0,1.0,False,Swahili > Spanish,0.9,0.0101
gpt-oss-20b,commonsense,fi,ko,500,0.964,0.962,0.002,10,9,19,0.0,1.0,False,Finnish > Korean,1.1111,0.0106
gpt-oss-20b,commonsense,fr,zh,500,0.97,0.968,0.002,6,5,11,0.0,1.0,False,French > Chinese,1.2,0.0115
gpt-oss-20b,commonsense,hi,tr,500,0.956,0.958,-0.002,13,14,27,0.0,1.0,False,Turkish > Hindi,0.9286,0.0099
gpt-oss-20b,commonsense,ko,sw,500,0.962,0.96,0.002,10,9,19,0.0,1.0,False,Korean > Swahili,1.1111,0.0103
gpt-oss-20b,commonsense,sw,tr,500,0.96,0.958,0.002,10,9,19,0.0,1.0,False,Swahili > Turkish,1.1111,0.0101
llama3.1-8b,commonsense,ar,de,500,0.818,0.916,-0.098,15,64,79,29.1646,0.0,True,German > Arabic,0.2344,0.2934
llama3.1-8b,commonsense,ar,en,500,0.818,0.934,-0.116,15,73,88,36.9205,0.0,True,English > Arabic,0.2055,0.3619
llama3.1-8b,commonsense,ar,es,500,0.818,0.932,-0.114,13,70,83,37.7831,0.0,True,Spanish > Arabic,0.1857,0.3539
llama3.1-8b,commonsense,ar,zh,500,0.818,0.914,-0.096,18,66,84,26.2976,0.0,True,Chinese > Arabic,0.2727,0.2862
llama3.1-8b,commonsense,de,fi,500,0.916,0.718,0.198,110,11,121,79.3719,0.0,True,German > Finnish,10.0,0.5316
llama3.1-8b,commonsense,de,ko,500,0.916,0.798,0.118,72,13,85,39.5765,0.0,True,German > Korean,5.5385,0.3442
llama3.1-8b,commonsense,de,sw,500,0.916,0.736,0.18,101,11,112,70.7232,0.0,True,German > Swahili,9.1818,0.4911
llama3.1-8b,commonsense,en,fi,500,0.934,0.718,0.216,116,8,124,92.3306,0.0,True,English > Finnish,14.5,0.6
llama3.1-8b,commonsense,en,hi,500,0.934,0.828,0.106,65,12,77,35.1169,0.0,True,English > Hindi,5.4167,0.3357
llama3.1-8b,commonsense,en,ko,500,0.934,0.798,0.136,82,14,96,46.7604,0.0,True,English > Korean,5.8571,0.4126
llama3.1-8b,commonsense,en,sw,500,0.934,0.736,0.198,110,11,121,79.3719,0.0,True,English > Swahili,10.0,0.5596
llama3.1-8b,commonsense,en,tr,500,0.934,0.822,0.112,74,18,92,32.8804,0.0,True,English > Turkish,4.1111,0.3514
llama3.1-8b,commonsense,es,fi,500,0.932,0.718,0.214,118,11,129,87.1008,0.0,True,Spanish > Finnish,10.7273,0.592
llama3.1-8b,commonsense,es,hi,500,0.932,0.828,0.104,59,7,66,39.4091,0.0,True,Spanish > Hindi,8.4286,0.3277
llama3.1-8b,commonsense,es,ko,500,0.932,0.798,0.134,80,13,93,46.8387,0.0,True,Spanish > Korean,6.1538,0.4047
llama3.1-8b,commonsense,es,sw,500,0.932,0.736,0.196,110,12,122,77.123,0.0,True,Spanish > Swahili,9.1667,0.5516
llama3.1-8b,commonsense,es,tr,500,0.932,0.822,0.11,68,13,81,36.0,0.0,True,Spanish > Turkish,5.2308,0.3434
llama3.1-8b,commonsense,fi,fr,500,0.718,0.906,-0.188,18,112,130,66.5308,0.0,True,French > Finnish,0.1607,0.4964
llama3.1-8b,commonsense,fi,zh,500,0.718,0.914,-0.196,17,115,132,71.2803,0.0,True,Chinese > Finnish,0.1478,0.5244
llama3.1-8b,commonsense,fr,ko,500,0.906,0.798,0.108,76,22,98,28.6633,0.0,True,French > Korean,3.4545,0.3091
llama3.1-8b,commonsense,fr,sw,500,0.906,0.736,0.17,104,19,123,57.3659,0.0,True,French > Swahili,5.4737,0.456
llama3.1-8b,commonsense,ko,zh,500,0.798,0.914,-0.116,16,74,90,36.1,0.0,True,Chinese > Korean,0.2162,0.337
llama3.1-8b,commonsense,sw,zh,500,0.736,0.914,-0.178,14,103,117,66.188,0.0,True,Chinese > Swahili,0.1359,0.484
llama3.1-8b,commonsense,tr,zh,500,0.822,0.914,-0.092,16,62,78,25.9615,0.0,True,Chinese > Turkish,0.2581,0.2758
llama3.1-8b,commonsense,de,tr,500,0.916,0.822,0.094,66,19,85,24.8941,1e-06,True,German > Turkish,3.4737,0.283
llama3.1-8b,commonsense,ar,fr,500,0.818,0.906,-0.088,19,63,82,22.5488,2e-06,True,French > Arabic,0.3016,0.2583
